RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,0,,0,,0,,0,,0,,763944,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,0,,0,,0,,0,,0,,6578314,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,0,,0,,0,,0,,0,,8451112,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400001,經常支出,0,,0,,0,,0,,685547,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400001,經常支出,0,,0,,0,,0,,5906149,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400001,經常支出,0,,0,,0,,0,,5289654,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400002,資本支出,0,,0,,0,,0,,55671,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400002,資本支出,0,,0,,0,,0,,211923,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,2095701,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2018/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2019/2/27 下午 02:08:44,2019/3/4 上午 11:41:13
